Location,Coordinates,Latitude,Longitude
"0 BENNETT ST, Cambridge, MA","(42.372382, -71.1221423)",42.372382,-71.1221423
"100 COLUMBIA ST, Cambridge, MA","(42.365934, -71.098387)",42.365934,-71.098387
"0 TREMONT ST, Cambridge, MA","(42.37373, -71.096791)",42.37373,-71.096791
"0 SHEA RD, Cambridge, MA","(42.3962721, -71.1287372)",42.3962721,-71.1287372
"NEWTOWNE CT & Newtowne Ct, Cambridge, MA","(42.3637651, -71.0948467)",42.3637651,-71.0948467
"0 MAPLE AVE, Cambridge, MA","(42.373405, -71.103947)",42.373405,-71.103947
"Bristol St & MARKET ST, Cambridge, MA","(None, None)",,
"100 MAPLE AVE, Cambridge, MA","(43.031689, -73.364471)",43.031689,-73.364471
"300 UPLAND RD, Cambridge, MA","(42.385294, -71.128192)",42.385294,-71.128192
"100 MOUNT VERNON ST, Cambridge, MA","(42.3878557, -71.1216431)",42.3878557,-71.1216431
"0 BERKELEY ST, Cambridge, MA","(42.3776102, -71.1232523)",42.3776102,-71.1232523
"400 PROSPECT ST, Cambridge, MA","(None, None)",,
